id,order_id,invoice_date,tax,shipping,amount_due
sdv-id-ayiMpL,73,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-NfjcTG,56,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-ocYewI,70,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-tctPfu,74,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-mQGGEN,63,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-qjCLCM,39,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-zegfsP,51,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-HtImjl,47,2006-04-04 04:31:25,0.0,0.0,0.0
sdv-id-weeeLk,55,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-HoKeCo,35,2006-04-04 11:42:35,0.0,0.0,0.0
sdv-id-EtjDJl,73,2006-04-04 11:43:07,0.0,0.0,0.0
sdv-id-nkLQzy,46,2006-04-04 11:43:06,0.0,0.0,0.0
sdv-id-WZFKWX,34,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-vXjZkW,76,2006-04-04 11:28:30,0.0,0.0,0.0
sdv-id-qWGmUE,37,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-UTKpak,33,2006-04-04 11:43:07,0.0,0.0,0.0
sdv-id-yfYkIM,45,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-WpNuvY,32,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-RysaIy,74,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-CldeNG,70,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-vytDFP,47,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-jUrDuD,51,2006-04-04 11:42:02,0.0,0.0,0.0
sdv-id-oVDyLz,39,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-CnpLAe,67,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-KfjQzL,47,2006-04-04 11:27:22,0.0,0.0,0.0
sdv-id-NrnDdM,75,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-bkdwfq,55,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-hVSBXD,40,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-TQpltN,74,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-ekGplW,32,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-PYyjNk,63,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-WyEAGm,74,2006-04-04 11:35:16,0.0,0.0,0.0
sdv-id-ZwFdYu,37,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-ZYgPxN,32,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-QDGoel,60,2006-04-04 11:43:08,0.0,0.0,0.0
