id,order_id,invoice_date,tax,shipping,amount_due
sdv-id-ayiMpL,72,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-NfjcTG,50,2006-03-23 03:07:36,0.0,0.0,0.0
sdv-id-ocYewI,74,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-tctPfu,30,2006-04-04 11:00:28,0.0,0.0,0.0
sdv-id-mQGGEN,55,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-qjCLCM,45,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-zegfsP,40,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-HtImjl,37,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-weeeLk,76,2006-04-04 11:43:07,0.0,0.0,0.0
sdv-id-HoKeCo,79,2006-04-04 11:43:07,0.0,0.0,0.0
sdv-id-EtjDJl,76,2006-04-04 11:43:00,0.0,0.0,0.0
sdv-id-nkLQzy,77,2006-03-22 21:42:25,0.0,0.0,0.0
sdv-id-WZFKWX,77,2006-04-04 11:11:37,0.0,0.0,0.0
sdv-id-vXjZkW,72,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-qWGmUE,55,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-UTKpak,70,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-yfYkIM,42,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-WpNuvY,33,2006-04-04 06:13:30,0.0,0.0,0.0
sdv-id-RysaIy,51,2006-04-04 11:43:07,0.0,0.0,0.0
sdv-id-CldeNG,32,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-vytDFP,30,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-jUrDuD,35,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-oVDyLz,31,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-CnpLAe,45,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-KfjQzL,70,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-NrnDdM,31,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-bkdwfq,63,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-hVSBXD,35,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-TQpltN,73,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-ekGplW,56,2006-04-04 11:42:48,0.0,0.0,0.0
sdv-id-PYyjNk,69,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-WyEAGm,56,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-ZwFdYu,42,2006-04-04 11:43:08,0.0,0.0,0.0
sdv-id-ZYgPxN,36,2006-03-22 16:08:59,0.0,0.0,0.0
sdv-id-QDGoel,78,2006-03-22 16:08:59,0.0,0.0,0.0
